,Rk,Team,Conf,W-L,AdjEM,AdjO ,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
122,123,Virginia Tech,BE,15-14,+3.16,101.9,98.8,66.3,+.052,+4.31,104.9,100.5,-9.42
123,124,Georgetown,BE,13-15,+3.10,99.1,96.0,68.4,-.053,+2.93,104.2,101.3,-10.85
124,125,Eastern Washington 15,BSky,17-13,+3.09,105.4,102.3,64.5,+.014,-0.25,103.3,103.5,+7.22
125,126,Washington St.,P10,13-16,+3.04,100.9,97.9,56.5,-.014,+5.37,106.7,101.4,-1.90
126,127,Boston University,AE,23-6,+3.01,102.5,99.5,63.4,+.115,-7.79,97.3,105.1,+0.37
127,128,Mississippi,SEC,13-15,+2.99,102.7,99.7,62.9,+.022,+6.19,106.6,100.4,-7.42
128,129,Pepperdine,WCC,15-16,+2.93,113.7,110.8,69.3,-.001,+2.22,104.7,102.5,+2.89
129,130,Butler,Horz,16-14,+2.77,107.5,104.7,56.4,-.038,-0.58,102.3,102.8,+1.04
130,131,Colorado St.,MWC,13-16,+2.63,104.3,101.6,68.3,+.008,+5.86,106.8,100.9,+1.09
131,132,USC,P10,13-15,+2.32,104.6,102.3,70.3,+.086,+6.21,107.9,101.6,+3.17
132,133,Minnesota,B10,12-18,+2.23,105.2,103.0,67.3,-.034,+5.18,106.4,101.2,-2.50
133,134,Georgia St.,ASun,20-9,+1.88,104.5,102.6,65.5,+.040,-5.19,101.6,106.8,+6.99
134,135,Middle Tennessee,SB,17-12,+1.81,103.4,101.6,65.3,+.026,-0.74,103.1,103.8,+0.13
135,136,SMU,WAC,12-18,+1.72,105.2,103.5,62.4,+.001,+6.16,106.1,100.0,+2.44
136,137,Davidson,SC,17-12,+1.55,103.6,102.1,66.3,+.043,-0.03,102.8,102.9,+15.04
137,138,Ball St.,MAC,14-15,+1.47,103.3,101.9,67.1,-.013,+1.47,105.3,103.9,+6.51
138,139,Stephen F. Austin,Slnd,21-9,+1.45,99.6,98.2,63.4,-.075,-9.43,98.4,107.8,-9.43
139,140,Hofstra,CAA,14-15,+1.42,105.7,104.3,67.4,-.007,+1.52,102.9,101.3,+5.24
140,141,Oral Roberts,MCon,17-11,+1.30,109.4,108.1,68.1,+.007,-1.83,103.5,105.4,+2.26
141,142,Arizona St.,P10,10-17,+1.29,107.6,106.3,68.5,-.049,+4.44,106.4,102.0,-2.29
142,143,Georgia Southern,SC,21-8,+1.27,100.9,99.6,72.5,-.016,-6.46,99.6,106.1,-8.44
143,144,UCLA,P10,11-17,+1.24,102.7,101.4,63.2,+.017,+5.71,106.9,101.2,+2.42
144,145,Chattanooga,SC,19-11,+1.18,111.2,110.0,66.8,+.043,-1.81,102.0,103.8,+1.82
